"","img","bath","sensor","range","time","date","r","g","b","h","s","v","date.time","gray"
"37",37,29.9,24.7,"1545","11:15:30","03/02/2020",0.47003077,0.05941872,0.5829415,0.7973875,0.8980709,0.5829415,2020-02-03 11:15:30,0.26688320982971
"38",38,22,24.6,"2045","11:15:48","03/02/2020",0.21786192,0.06140562,0.5311715,0.7221753,0.8843959,0.5311715,2020-02-03 11:15:48,0.175256179354356
"39",39,22.3,24.7,"1535","11:20:00","03/02/2020",0.71441213,0.08839956,0.53153633,0.8820213,0.8762625,0.7144121,2020-02-03 11:20:00,0.357650444327421
"40",40,22.3,24.7,"1545","11:20:21","03/02/2020",0.47949867,0.05929142,0.58274114,0.8004609,0.8982543,0.5827411,2020-02-03 11:20:21,0.263486489212539
"41",41,22.3,24.6,"2045","11:20:30","03/02/2020",0.23089868,0.06117274,0.53782992,0.7260126,0.8862601,0.5378299,2020-02-03 11:20:30,0.174283759851555
"42",42,22.5,24.9,"1535","11:24:36","03/02/2020",0.7307813,0.1047213,0.5114844,0.8917135,0.8566995,0.7307813,2020-02-03 11:24:36,0.370813471039649
"43",43,22.5,24.8,"1545","11:24:42","03/02/2020",0.49865576,0.05918341,0.58234161,0.8066729,0.8983699,0.5823416,2020-02-03 11:24:42,0.273505471603323
"44",44,22.5,24.8,"2045","11:24:55","03/02/2020",0.2502546,0.0609261,0.5471152,0.7315689,0.8886412,0.5471152,2020-02-03 11:24:55,0.181514256401232
"45",45,22.8,25,"1535","11:29:08","03/02/2020",0.7533482,0.1325699,0.4690746,0.9096552,0.8240257,0.7533482,2020-02-03 11:29:08,0.385679094512272
"46",46,22.8,25,"1545","11:29:26","03/02/2020",0.54483767,0.05919875,0.58266661,0.821289,0.8984003,0.5826666,2020-02-03 11:29:26,0.302735037735415
"47",47,22.8,25.1,"2045","11:29:45","03/02/2020",0.29045138,0.06095977,0.55810667,0.7436029,0.890774,0.5581067,2020-02-03 11:29:45,0.199458049665793
"48",48,23.4,25.7,"1535","11:34:42","03/02/2020",0.7847788,0.1877141,0.3688458,0.9494383,0.7608064,0.7847788,2020-02-03 11:34:42,0.393293716369728
"49",49,23.4,25.6,"1545","11:35:09","03/02/2020",0.60206662,0.05857913,0.58067084,0.8398946,0.9027032,0.6020666,2020-02-03 11:35:09,0.312443562237355
"50",50,23.4,25.6,"2045","11:35:20","03/02/2020",0.3625402,0.0603882,0.5788803,0.7637919,0.895681,0.5788803,2020-02-03 11:35:20,0.217220455093024
"51",51,23.7,25.8,"1535","11:39:34","03/02/2020",0.8008798,0.219791,0.2948159,0.9784815,0.725563,0.8008798,2020-02-03 11:39:34,0.402100441974795
"52",52,23.7,25.8,"1545","11:39:50","03/02/2020",0.62352411,0.05818534,0.57790498,0.8467822,0.9066831,0.6235241,2020-02-03 11:39:50,0.312111167536133
"53",53,23.7,25.8,"2045","11:40:05","03/02/2020",0.3953956,0.0601451,0.5819322,0.7737507,0.8966459,0.5819322,2020-02-03 11:40:05,0.225862870861372
"54",54,23.9,26,"1535","11:43:50","03/02/2020",0.8091084,0.2376034,0.2502351,0.9963163,0.7063392,0.8091084,2020-02-03 11:43:50,0.413058750605462
"55",55,23.9,25.9,"1545","11:44:05","03/02/2020",0.63016799,0.05798183,0.57539603,0.8492873,0.9079899,0.630168,2020-02-03 11:44:05,0.325268935010413
