"","img","bath","sensor","range","time","date","r","g","b","h","s","v","date.time","gray"
"161",161,36.4,35.2,"1545","14:01:25","03/02/2020",0.90176807,0.58637392,0.05108273,0.1048745,0.9433527,0.9017681,2020-02-03 14:01:25,0.616844803793134
"162",162,36.4,35.7,"2045","14:01:50","03/02/2020",0.8934894,0.51841055,0.05458444,0.09214912,0.93890869,0.8934894,2020-02-03 14:01:50,0.551425646990711
"163",163,36.3,35.7,"2545","14:02:25","03/02/2020",0.87594645,0.44240322,0.05646909,0.07849193,0.93553363,0.87594645,2020-02-03 14:02:25,0.525989622721684
"164",164,36.6,35.9,"1545","14:05:20","03/02/2020",0.90248633,0.61197342,0.05033987,0.1098468,0.9442209,0.9024863,2020-02-03 14:05:20,0.664127707126495
"165",165,36.6,35.6,"2045","14:06:00","03/02/2020",0.89911905,0.55033063,0.05220501,0.09802758,0.9419376,0.89911905,2020-02-03 14:06:00,0.56668606314247
"166",166,36.6,35.8,"2545","14:06:20","03/02/2020",0.8840435,0.4782531,0.0550743,0.08508133,0.93770182,0.88404352,2020-02-03 14:06:20,0.51827275779497
"167",167,37.1,36.3,"1545","14:11:30","03/02/2020",0.8997807,0.61903149,0.05376154,0.1113588,0.9402504,0.8997807,2020-02-03 14:11:30,0.609302004864134
"168",168,37.1,36.3,"2045","14:11:45","03/02/2020",0.89664072,0.56176093,0.05778766,0.1001314,0.9355509,0.8966407,2020-02-03 14:11:45,0.590442168088227
"169",169,37.1,36.3,"2545","14:12:15","03/02/2020",0.88371465,0.48642957,0.06356041,0.08593285,0.92807587,0.88371465,2020-02-03 14:12:15,0.556630478427155
"170",170,37.5,36.7,"1545","14:16:15","03/02/2020",0.89977483,0.62770788,0.05313772,0.1131083,0.9409433,0.8997748,2020-02-03 14:16:15,0.631175936056045
"171",171,37.5,36.6,"2045","14:16:40","03/02/2020",0.8977096,0.574363,0.0567899,0.1025808,0.9367391,0.8977096,2020-02-03 14:16:40,0.619552674672916
"172",172,37.5,36.4,"2545","14:17:15","03/02/2020",0.8830827,0.4889224,0.0628592,0.08657461,0.92881844,0.88308268,2020-02-03 14:17:15,0.568403181000752
"173",173,38,37,"1545","14:21:15","03/02/2020",0.9001838,0.65796666,0.05226685,0.1190564,0.9419376,0.9001838,2020-02-03 14:21:15,0.661590593788661
"174",174,38,37.1,"2045","14:21:45","03/02/2020",0.89842163,0.5950735,0.05583853,0.1066631,0.9378482,0.8984216,2020-02-03 14:21:45,0.609330231199059
"175",175,38,36.8,"2545","14:22:10","03/02/2020",0.89122438,0.52330348,0.05872937,0.09300839,0.9341026,0.89122438,2020-02-03 14:22:10,0.557703643816637
"176",176,38.7,37.8,"1545","14:27:15","03/02/2020",0.89599221,0.58056962,0.05704785,0.1040041,0.93633,0.8959922,2020-02-03 14:27:15,0.589155580041465
"177",177,38.6,37.9,"2045","14:27:50","03/02/2020",0.90003696,0.69717513,0.05196093,0.1267996,0.942268,0.900037,2020-02-03 14:27:50,0.69473703163802
"178",178,38.7,37.7,"2545","14:26:25","03/02/2020",0.89915786,0.64468798,0.05395902,0.1164872,0.9399894,0.8991579,2020-02-03 14:26:25,0.644758037720125
"179",179,39,38.1,"1545","14:32:30","03/02/2020",0.89991931,0.70181425,0.05419763,0.127626,0.939775,0.8999193,2020-02-03 14:32:30,0.6902348931464
"180",180,39,37.7,"2045","14:33:05","03/02/2020",0.89925976,0.65214666,0.05365655,0.1179612,0.9403325,0.8992598,2020-02-03 14:33:05,0.648322280792886
"181",181,39,38.4,"2545","14:33:30","03/02/2020",0.89664161,0.58653565,0.05693724,0.105116,0.9364994,0.8966416,2020-02-03 14:33:30,0.58743997018564
"182",182,39.5,38.5,"1545","14:37:20","03/02/2020",0.89978952,0.70716956,0.05509804,0.1286607,0.9387656,0.8997895,2020-02-03 14:37:20,0.675932703718987
"183",183,39.5,38.1,"2045","14:37:40","03/02/2020",0.89917317,0.67355923,0.05371271,0.1221911,0.9402643,0.8991732,2020-02-03 14:37:40,0.650702272119887
"184",184,39.5,38.8,"2545","14:38:05","03/02/2020",0.89757196,0.61423071,0.05603845,0.1105506,0.9375666,0.897572,2020-02-03 14:38:05,0.621179380123213
"185",185,39.8,38.4,"1545","14:41:40","03/02/2020",0.89961519,0.71910352,0.05639478,0.1309876,0.9373123,0.8996152,2020-02-03 14:41:40,0.713948562889519
"186",186,39.8,38.4,"2045","14:41:55","03/02/2020",0.89871609,0.67701812,0.05366056,0.1229421,0.940292,0.8987161,2020-02-03 14:41:55,0.672904317926919
"187",187,39.8,38.4,"2545","14:42:20","03/02/2020",0.8967655,0.6232872,0.057863,0.1123341,0.9354759,0.8967655,2020-02-03 14:42:20,0.6411801354773
"188",188,40.3,39.2,"1545","14:46:25","03/02/2020",0.89993765,0.75683317,0.08012475,0.1375738,0.9109663,0.8999377,2020-02-03 14:46:25,0.720145865279484
"189",189,40.3,39.4,"2045","14:46:45","03/02/2020",0.89914924,0.69830971,0.05739068,0.1269008,0.9361722,0.8991492,2020-02-03 14:46:45,0.677044119598169
"190",190,40.3,39.3,"2545","14:47:10","03/02/2020",0.89677949,0.64071222,0.05739017,0.1158227,0.9360041,0.8967795,2020-02-03 14:47:10,0.672880770448656
"191",191,40.8,39.6,"1545","14:51:45","03/02/2020",0.89975483,0.74484917,0.06987828,0.1355565,0.9223363,0.8997548,2020-02-03 14:51:45,0.724018124816984
"192",192,40.8,39.4,"2045","14:52:10","03/02/2020",0.89946876,0.70586058,0.05883561,0.1282813,0.9345885,0.8994688,2020-02-03 14:52:10,0.676491930255157
"193",193,40.8,39.1,"2545","14:52:30","03/02/2020",0.89799641,0.66259279,0.05463289,0.1201459,0.9391614,0.8979964,2020-02-03 14:52:30,0.639400140227379
"194",194,41.2,40.1,"1545","14:54:50","03/02/2020",0.89974342,0.75973807,0.08535033,0.1380144,0.9051393,0.8997434,2020-02-03 14:54:50,0.756615463117494
"195",195,41,40,"2045","14:55:10","03/02/2020",0.89900431,0.7080658,0.06136231,0.1286754,0.9317441,0.8990043,2020-02-03 14:55:10,0.704944334261455
"196",196,41,41.1,"2545","14:55:45","03/02/2020",0.89735323,0.66811145,0.05944642,0.1210686,0.9337536,0.8973532,2020-02-03 14:55:45,0.659257875020376
"197",197,41.7,40.5,"1545","14:58:40","03/02/2020",0.8997099,0.7844605,0.1291207,0.14174,0.8564862,0.8997099,2020-02-03 14:58:40,0.736154690390591
"198",198,41.7,40.3,"2045","14:59:10","03/02/2020",0.8990679,0.7586637,0.0914407,0.137692,0.8982939,0.8990679,2020-02-03 14:59:10,0.71574386548933
"199",199,41.7,40.3,"2545","14:59:30","03/02/2020",0.89771804,0.71851228,0.06951246,0.1306036,0.9225676,0.897718,2020-02-03 14:59:30,0.691488611175192
"200",200,42.5,40.9,"1545","15:03:25","03/02/2020",0.8991997,0.7962339,0.1625896,0.1433695,0.8191841,0.8991997,2020-02-03 15:03:25,0.758897098514159
"201",201,42.5,40.7,"2045","15:03:55","03/02/2020",0.8984511,0.7705083,0.1200863,0.139271,0.8663407,0.8984511,2020-02-03 15:03:55,0.713963297369931
"202",202,42.5,40.3,"2545","15:04:25","03/02/2020",0.89712052,0.7243574,0.07997578,0.1314295,0.9108528,0.8971205,2020-02-03 15:04:25,0.655536185581818
"203",203,43.3,41.4,"1545","15:09:05","03/02/2020",0.8987569,0.8223839,0.2611827,0.1467022,0.7093956,0.8987569,2020-02-03 15:09:05,0.78112783951917
"204",204,43.3,40.5,"2045","15:09:40","03/02/2020",0.898855,0.7889227,0.1326947,0.1427525,0.8523736,0.898855,2020-02-03 15:09:40,0.727143706973748
"205",205,43.3,40.9,"2545","15:10:00","03/02/2020",0.89777328,0.74250384,0.07191896,0.1353316,0.9198918,0.8977733,2020-02-03 15:10:00,0.718074275406123
"206",206,43.9,40.6,"1545","15:14:50","03/02/2020",0.898491,0.8099873,0.2038904,0.1454306,0.7730746,0.898491,2020-02-03 15:14:50,0.7681427115672
"207",207,43.9,40.9,"2045","15:15:15","03/02/2020",0.8978805,0.786061,0.1424958,0.141995,0.8412976,0.8978805,2020-02-03 15:15:15,0.761801374080333
"208",208,43.9,40.4,"2545","15:15:35","03/02/2020",0.8968929,0.74639722,0.08555959,0.1357514,0.9046044,0.8968929,2020-02-03 15:15:35,0.746777378552352
"209",209,44.4,41.1,"1545","15:19:30","03/02/2020",0.8990788,0.8156061,0.2094501,0.1464933,0.7670392,0.8990788,2020-02-03 15:19:30,0.759443101289351
"210",210,44.4,40.4,"2045","15:19:50","03/02/2020",0.8986231,0.7890083,0.1464453,0.1423783,0.8370337,0.8986231,2020-02-03 15:19:50,0.755320534595323
"211",211,44.4,40.3,"2545","15:20:10","03/02/2020",0.8973975,0.7559898,0.0916883,0.1374155,0.8978287,0.8973975,2020-02-03 15:20:10,0.724834464840268
