FID,FID_,Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,logger,lat,long
52,0,Insert,POINT,2,Continuous,-2.913100000000000,25,CROSS,0.000000000000000,s,3.042107202300000,101.873099221999990
53,0,Insert,POINT,2,Continuous,-3.000800000000000,25,CROSS,0.000000000000000,r,3.042075713380000,101.873059373000000
54,0,Insert,POINT,2,Continuous,-3.084700000000000,25,CROSS,0.000000000000000,j,3.042034822190000,101.873039613000000
55,0,Insert,POINT,2,Continuous,-2.698700000000000,25,CROSS,0.000000000000000,k,3.042011745410000,101.873062655000000
56,0,Insert,POINT,2,Continuous,-2.555000000000000,25,CROSS,0.000000000000000,l,3.041987806410000,101.873089677000000
57,0,Insert,POINT,2,Continuous,-2.707400000000000,25,CROSS,0.000000000000000,m,3.041962095000000,101.873103782000000
58,0,Insert,POINT,2,Continuous,-2.674800000000000,25,CROSS,0.000000000000000,n,3.041964775680000,101.873174320999990
59,0,Insert,POINT,2,Continuous,-2.665900000000000,25,CROSS,0.000000000000000,o,3.041951852000000,101.873169926000000
60,0,Insert,POINT,2,Continuous,-2.612300000000000,25,CROSS,0.000000000000000,p,3.041915965940000,101.873266904999990
61,0,Insert,POINT,2,Continuous,-2.673900000000000,25,CROSS,0.000000000000000,q,3.041904524490000,101.873263413999990
62,0,Insert,POINT,2,Continuous,-2.783300000000000,25,CROSS,0.000000000000000,g,3.041917603040000,101.872937591000000
63,0,Insert,POINT,2,Continuous,-2.815600000000000,25,CROSS,0.000000000000000,h,3.041900762930000,101.872959386999990
64,0,Insert,POINT,2,Continuous,-2.679200000000000,25,CROSS,0.000000000000000,i,3.041887858270000,101.872980156000000
65,0,Insert,POINT,2,Continuous,-2.969700000000000,25,CROSS,0.000000000000000,d,3.041642741510000,101.872924776000000
66,0,Insert,POINT,2,Continuous,-2.742200000000000,25,CROSS,0.000000000000000,e,3.041658675930000,101.872951396999990
67,0,Insert,POINT,2,Continuous,-2.630200000000000,25,CROSS,0.000000000000000,f,3.041671437030000,101.872970714000000
68,0,Insert,POINT,2,Continuous,-2.891900000000000,25,CROSS,0.000000000000000,a,3.041506616190000,101.873066337000000
69,0,Insert,POINT,2,Continuous,-2.926100000000000,25,CROSS,0.000000000000000,b,3.041489752800000,101.873040512000000
70,0,Insert,POINT,2,Continuous,-2.823700000000000,25,CROSS,0.000000000000000,c,3.041482054330000,101.873018216999990
